reviewer_orcid,reviewer_title_doi,reviewer_title,reviewer_paper_attribure
0000-0002-2760-589X,,Global-Scale Placement of Transactional Data Stores,transactions datacenter latencies reading replicas placements gplacer data differ application protocols model consistent phase replicate tion access requires client partitioned time commits algorithm figure optimal section distribute updated average dcdb
0000-0001-8707-3410,,DonÂ¡Â¯t Thrash: How to Cache Your Hash on Flash,filters buffers data inserting bit bloom ssds perform space required structured hashes slots lookup ing decoding useful writing tables element quotienting random operate sizes supported section items figure merges qfs
0000-0002-4766-1696,,Serializable Snapshot Isolation in PostgreSQL,transaction serializability ssi postgresql anomaly locks reads isolation sections snapshots data requirement batch concurrency examples commits levels new implements table bases important additional databases serial performance executions conflict writes abort
0000-0002-3227-903X,,Human-powered Sorts and Joins,tasks joined hit worker generalize filtered answer queries img fields batched interfaces operator qurk databases users image implements table optimized selected like includ crowd tuples orders data costs gender comparable
0000-0002-2730-8393,,Durable Write Cache in Flash Memory SSD for Relational and NoSQL Databases,writing paging durassd cached buffered databases storage data ssds latencies memory durability atomically effects devices fsync section require flash throughput reads flush disks operate performance table times workings updated manager
0000-0003-4733-6268,,Ranking Distributed Probabilistic Data Feifei Li1 Ke Yi2 Jeffrey Jestes1,data rankings distributions tuple scoring value computed algorithm world query community application pdf attributes site networking uncertain databases results based tions section cost approach important sensor locally order works efficiently
0000-0001-7874-1915,,Indexing the Earth MoverÂ¢Â® ?s Distance Using Normal Distributions,emds indexed distributed normals errors bounded times compute methods data query dominated lines lower cdfs pruned projections tions problems figure dimensionality bin requirement distance set tis intersected approximations definite significant
0000-0001-6278-6182,,sDTW: Computing DTW Distances using Locally Relevant Constraints based on Salient Feature Alignments,features scaling time series differently temporal data localized salient figure point align bases corresponds algorithm dtw constraint sdtw keypoints distance steps sift searches descriptor warp image identifies gradients invariance paths
0000-0001-8711-5908,,Druid A Real-time Analytical Data Store,data node segments event_ queried druid histor times real loaded distribute clusters different males ingests storage operational systems largely zookeeper availability persists replicating figure busi hadoop immutable contains cached indexes
0000-0001-5330-6255,,Explainable Security for Relational Databases,queries policy database views disclosure security permissions formalize formula users work principal figure data access information complex develop tions dataset rewritings models checking controls explanations generating atoms given computing relation
0000-0002-2503-187X,,Counting Edges with Target Labels in Online Social Networks via RandomWalk,sampling estimation labeled user node section edge random based algorithm graphs specific processes sets implemented distribution osn theoretical corresponding walks existing information neighbors neighborsample subgraph ing new target spanish network
0000-0002-5928-9449,,Using Object-Awareness to Optimize Join Processing in the SAP HANA Aggregate Cache,aggregated table query cached joining partitioning data mains application deltas match ing base performance pruned includes processed manage record executed objects transactional consists stored com insertion items optimization entries semantic
0000-0001-7558-5398,,Practical Differential Privacy via Grouping and Smoothing,group data privacy count queries differentiates databases ranges laplace noise error mechanisms samples resulting compute section curately analysis sensitive fpa requiring adapted perturbing output users followed finally answer feature numerical
0000-0002-7312-6312,,Fast Reliability Search in Uncertain Graphs,reliability graph node probabilities network clusters methods problems based sections queries given index sampled generalization arc sources strategies high sets observation computed uout search ing candidate flow cuts requires detection
0000-0002-4576-9708,,Automatic Tuning of Bag-of-Tasks Applications,task aplug workload decompositions parallelism users times speedup distributions sequences samples dynamically application figure computes acme efficiencies execute core modeling process section estimations resource number optimize algorithms inpt predicted different
0000-0002-2254-8814,,K-Reach: Who is in Your Small World,indexed graphs hops query vertex section reachable algorithm based direction problem processed reached covered works networks traversals path approach constructing given cases time following codes contain real super note
0000-0002-3046-0193,,Identifying User Interests within the Data Space - a Case Study with SkyServer,querie area database data accesses users different sql logged relations follows objective extracts specific spaces predicate columns researchers complexity new transforms process clause sky definitions type resulting skyserver tion scientific
0000-0002-6118-5227,,Identifying and Describing Streets of Interest,street poi segment querying soi cells work algorithm lines based problems differences textual source informative regions lists photo sets considers section relevance keywords areas lemma lengths connected identify large distances
0000-0002-9369-2012,,ONDUX: On-Demand Unsupervised Learning for Information Extraction,value attribute block label match data base texts extracted approaches modeling learn iets method trained numbers result processing informally term hmms steps unsupervised similarity segment record inputs high function domains
0000-0002-6036-248X,,Efficient Processing of Hamming-Distance-Based Similarity-Search Queries Over MapReduce,indexes ham data distances node binary algorithms query hashing similar tuple searching based code approach section common table example compute useful multiple bit dataset flsseqs scans distributes select correspond
0000-0003-4210-2470,,ID Repair for Trajectories with Transition Graphs,repairs valid trajectory graph examples location candidate problems algorithm definitions ids values given setting record subsets methods based multiple joining generate functions errors effectively time cases loc objects evaluates datasets
0000-0002-0616-4095,,Efficient Skyline Computation in MapReduce,partitioned skylines mapreduce data algorithm reduced values bitstrings locally bsr computed section work tuple dominate grid parallelized tions distribute input processes ppd lines definitions setting com based difference following nodes
0000-0002-2947-9516,,Low Overhead Concurrency Control for Partitioned Main Memory Databases,transaction partitions executes speculates database lock data performed network multiple concurrent multi fragments coordinators resulting single processed clients stores commit uses aborted scheme undo working queues control tion block cpus
0000-0003-1207-312X,,Efficient Indexing and Querying over Syntactically Annotated Trees,query tree indexes nodes codings structuring subtree postings numbering parse storing sentence syntactic times performing useful matches figure base work large orders sizes small resulting approach data value branching relation
0000-0003-2109-8003,,GraphCache: A Caching System for Graph Queries,querying graphs cached dataset subgraphs process manager sets times graphcache indexes components perform methods problems ing storing labelled data subsystem matches test differs algorithm executes supergraph processor base sub case
0000-0001-5451-622X,,Big Data Analytics for Time Critical Maritime and Aerial Mobility Forecasting,data trajectories event timely operating analytical processing supports stream analysis pattern position predictable ing vessel maritime difference challenging entity complex forecasts speed fishing component provided domain base users critical source
0000-0003-1209-7738,,The Complexity of Social Coordination,coordinating query algorithms sets entangled databases unique scenario require graph flights hardness follow safety example specific relations evaluated level useful application definition satisfies want work atom solution exist heads resulting
0000-0003-1200-7368,,Efficient SimRank-based Similarity Join Over Large Graphs ,graph simrank pair bases comput vertex section similar papers sim srj query followed index paths iterated given method efficiency distances according join network research extensive number solutions vertices space shortest
0000-0002-0477-7429,,Query Simplification: Graceful Degradation for Join-Order Optimization,queries joined graphs algorithm optimizations orderings simplifications problem relation complexity differences results steps greedy included large heuristical com generating costs pro useful performs tions execution times non theoretical programming
0000-0002-0566-1540,,Parallel Array-Based Single- and Multi-Source Breadth First Searches on Large Dense Graphs,graph bfs parallelize algorithmic sources vertex single bits memory figure works iterates machines bfss data bases seen multi vertices bitsets operations traverses sizes large cpus thread multiple frontier numa tioning
0000-0002-6737-4168,,Distributed GraphLab: A Framework for Machine Learning and Data Mining in the Cloud,data computations graphlab graphs algorithmic executes parallelism requirement distribution converged updated vertex modeling consists vertices pagerank mldm abstractions asynchronicity performance settings serializable pregel systems sec times yes efficient implement dynamically
0000-0002-5728-1670,,Efficient Summarization Framework for Multi-Attribute Uncertain Data,attributes summarizes object sets value data concept information modeled coverage summaries efficiently reviewer correlated like container optimal feature tion technique probabilistic figs level visual sections based representing worlds extracted interested
0000-0001-7379-8955,,Robust Set Reconciliation ,data settings differences alice algorithm point key problems bob iblts communities timely matched distance small reconcili cell examples constant levels costs definition emd resulting methods quadtree step suppose corresponds requirement
0000-0002-9410-9394,,Ajax-based Report Pages as Incrementally Rendered Views,page other_reviews data forward javascript query ajax programs tuple sql unit user proposal_id trees grade_id database tion web application updatable mappings performance values nested sub html component section provides incremental
0000-0001-5079-6447,,Efficient Parallel Spatial Skyline Evaluation Using MapReduce,skylines data spatially region point based objects parallelize partition algorithm query functionality methods independence hulls dominate convex mapreduce tion solutions dataset applications efficiency locality phases evaluate computational databases given
0000-0001-6038-2897,,Finding Shortest Path on Land Surface,paths surface algorithm requirement figure models pointed terrain problem called finds simplification given section lines proposal mapped distance time slope tion fsgp step perform shadowing note non shortest vis query
0000-0003-2109-8003,,Indexing Query Graphs to Speedup Graph Query Processing,graph querying subgraphs performing indexes igq approach dataset works differently time process ing sets chemical large algorithm base feature methods data related storing filter supergraphs tested result trees improvements knowledge
0000-0001-6163-6625,,"Multicore Triangle Computations Without Tuning Julian Shun1, Kanat Tangwongsan2",parallelization algorithm graph triangles caches counts edge works memory ranked direction requiring performs efficiency machines list computed procedures complex functions store implements multicores task networks thread merging sorting step scanning
0000-0003-4270-5239,,Meaningful Keyword Search in Relational Databases with Large and Complex Schema,answers rankings schemas trees keywords relevant companies relation roles queries customers method minimality database measured based user given contained tuple information generation fig meaningful key joining difference attribute joseph data
0000-0003-1372-7455,,Efficient Computation of Containment and Complementarity in RDF Data Cubes,data dimension observe containing value based clusters dataset times measured differ computed multidimensional com rdf algorithm cube matrix commons figure space relationship cji definition olap section ocm table given information
0000-0002-0698-0922,,Estimating the Confidence of Conditional Functional Dependencies,data cfd algorithm new computation confidence summary tableau attributes table estimated related salary different space exactly patterns recorded sections time addition prices considered audit errors dependency ing degrees complexity small
0000-0001-7465-2608,,A Six-dimensional Analysis of In-memory Aggregation,aggregates data querying hash_lp keys algorithm sorts distributions memory performing functions dimension times probe table resulting based trees art datasets best inserting implemented study item sized groups operations ranges recently
0000-0002-7925-0824,,GAMPS: Compressing Multi Sensor Data by Grouping and Amplitude Scaling,sensors compress data gamps errors signal times generality querying group case multiple scales section results collection beta approximation algorithm maximum directly analysis problem use physical scheme techniques related optimization
0000-0001-7647-7874,,Exploiting Evidence from Unstructured Data to Enhance Master Data Management,mdm entity matched eutc figure data document attribute text information record based management mds extracts differently dictionaries relationships com annotating grams functional http exists ibm link persons new uses master
0000-0003-1684-207X,,Quick-Motif: An Efficient and Scalable Framework for Exact Motif Discovery,subsequent motifs distance pairs groups times mbrs paa algorithm pruned normalizing methods discovery solution levels constructed process refining sequences technique correlation space based performances given computing quick dataset figure problems
0000-0002-1961-9167,,Skyline Query Processing over Joins,join skyline sfsj technique data sets queries operators tuples hotels experimentally accessed algorithms optimality existence termed computes inn price relation inputs performance figure specifically best contributions studies novel theoretical contains
0000-0003-1953-0434,,How to ConQueR Why-Not Questions,queries explanation databases selected tuple result scores miss data involve examples user model explains available operator nba unexpected information based relation generate forms refine air recently airlines helpful year changes
0000-0001-8110-3869,,Evaluation of Probabilistic Threshold Queries in MCDB,mcdb data databases statistical queried generality modeling stochastic possibly process systems user threshold result probdbs functions problems questions analysis given carlo monte involve higher idea computational probability non immediately
0000-0001-5654-6764,,Large Scale Cohesive Subgraphs Discovery for Social Network Visual Analysis,graph subgraph edge social bases cohesion vertices com triangles visualize databases networks times problem analysis like connection user friend example section stored algorithmic model provides vertex finding cliques size definition
0000-0001-7278-0112,,Incremental Maintenance of Length Normalized Indexes for Approximate String Matching,updating strings index searches queries normalization working section lists retrieve incrementally matches candidate propagate data time multiple strict algorithm experimental answer complete basis theoretically generally dataset presents key applications documents
0000-0003-2388-5262,,Top-K Generation of Integrated Schemas Based on Directed and Weighted Correspondences,schema integrating set correspondence algorithms birth_date generating element weight householder data information users similarities interactive merge design choices time problem case match higher member salary example decisions relationships unified web
0000-0001-7715-1008,,Talking To The Database In A Semantically Rich Way,method applications databases data selected performs executes developed ways figure level objects coding program approach query methodology loans designed case amount_outstanding related orms difference conference number screen specifically pattern
0000-0002-1074-6223,,Automatic Contention Detection and Amelioration for Data-Intensive Operations,thread performs caches data databases contention memory operation chips reducing tasks explicit parallel concurrently hardware managed accesses bottleneck machines execution architecture generate multiple clones speed sharing certain structure code tuning
0000-0003-1119-5993,,Scalable Parallelization of RDF Joins on Multicore Architectures,joined data querying rdf tables memory useful approach indexed parallelizing different processes relations base triple systems values subjects common executed partition storing graph methods objects prop tion result searching numbering
0000-0002-9487-9540,,A Comparison of Join Algorithms for Log Processing in MapReduce,mapreduce joins log data timely hadoop experimentation analytic large distributed table important query performed parallelization processing file schema design based typical cluster like sources scan aggregated implementations new jobs platforms
0000-0003-1979-6021,,Hierarchical In-Network Attribute Compression via Importance Sampling,networks slices nodes value compressed regions sampled algorithm errors real attributes radius problems theorem given trees data apply based processes exists speed structural averages time traffic requires large work sse
0000-0002-8650-8213,,Mining Statistically Significant Connected Subgraphs in Vertex Labeled Graphs,graph labeling dataset significance value section application statistical subgraph networks null mining ranging expected features different research vertex real time continuous define trees exponential vertices problem discrete particular unearth
0000-0001-7301-1550,,Compacting Transactional Data in Hybrid OLTP&OLAP Databases,data compress query memory transactions processed paging snapshot olap cold oltp accessible value hot tion dictionaries executed performs updating systems attributes bases scanned times hyper database keys com figure efficiently
0000-0002-0316-3193,,Data Warehousing and Analytics Infrastructure at Facebook,data hive user job clusters querying hadoop different reduces processes product table compress facebook storage executing usage mappings time scalability section server files systems resources logging creating large generating growth
0000-0002-9071-9531,,GSCALER: Synthetically Scaling A Given Graph,graphs gscaler gsp like sec scaled edge kronecker smaller generated distributions degree social papers similarity synthetic considerable bfs protection small related work dna network present strand indegree properties specified sequences
0000-0001-5149-2656,,Querying Big Graphs within Bounded Resources,queries graph answered searching resource node bound data indexing small social dynamically locally given alpha michael work based costs times promising budgets reduc patterns section big cycling tion evaluation computed
0000-0001-8825-589X,,Automatically Incorporating New Sources in Keyword Search-Based Data Integration,data schemas aligns new integrated information users automatic driven database tool result learn source search algorithm scientific feedback simply semantic effort querying match exist relating work mappings attribute table
0000-0002-2823-4488,,Piecewise Linear Approximation of Streaming Time Series Data with Max-error Guarantees,plas problems segment errors data algorithms windows works case optimality lines lemma time points piecewise approximates online space disjoint resp given size property continuous use extension figure construction set right
0000-0003-4989-6234,,Mining Statistically Significant Substrings using the Chi-Square Statistic,strings distributions section substring significance algorithms time probabilities statistical given large pattern values modeling positive possible resultant computed follow ing problems detect let finds define size uses theorem squares letter
0000-0003-2708-3961,,A Comparison of Approaches to Large-Scale Data Analysis,data databases programs dbmss mapreduce systems performing computing parallel trade architectural defined disks available example sql large differences node high clusters end analysis relational best results considerable control allelize
0000-0002-0959-5106,,"Filtered Statistics Pawel Terlecki, Hardik Bati, Cesar Galindo-Legaria and Peter Zabback",columns statistics application estimated filter value independence cardinalities interesting data plan tables tenants new row correlation useful predicates server section selectivity framework logical describes scenario orga classes subtable better sql
0000-0003-0912-6892,,Tracking Set Correlations at Large Scale,tag section data computational node sets load distribution partitioning creates process storm stream experimental low com assignment scale munich tweet locations tagsets information sages mate ral use sation document beach
0000-0001-9660-7971,,"A Privacy-Preserving Framework for Personalized, Social Recommendations",privacy socially users recommender differentiates items approach settings section significantly results sensitivity enables providing recently presented individual informally reducing high random compared traditional nature instantiations matrix topic ditional similar structural
0000-0002-7106-4824,,Efficient Processing of k Nearest Neighbor Joins using MapReduce,data objects knn joined partitioned map distances mapreduce bases selecting pri section computation figure reduced job pivot framework functions clustered algorithm datasets bounds given working cost results tables sets values
0000-0002-9508-8935,,Optimizing Schema-Last Tuple-Store Queries in Graphd,query store graphd model indexing optimizer tuples schema database performance freebase general subject recent work natural production object operator tree data technique row column relational
0000-0001-7681-3807,,Efficient Query Answering in Probabilistic RDF Graphs Xiang Lian and Lei Chen,rdf graph labeled data pid querying triple probability prune greece aarau athens information probabilistic efficiency section effectiveness structures design synopses conjunctions zoe edges example inconsistencies contains takes pattern matching world
0000-0002-4559-5373,,CDAS: A Crowdsourcing Data Analytics System,answered worker queries crowdsourc models bases cdas jobs process accuracy results providing algorithm humans engine task requiring difference performance sample users analytics probability given data new sections theorem specifically confidence
0000-0003-3099-6470,,DBaaS Cloud Capacity Planning - Accounting for Dynamic RDBMS Systems that Employ Clustering and Standby Architectures,database clouds capac plan major systems resource provision workloads model based computing environ version companies live license work section paper type configurations physical advances architecture analysis projects standby dbaas experiments
0000-0003-2260-3008,,Probabilistic Resource Route Queries with Reappearance,resources time solution routes query probabilistically modeled search park cars gas spots considers probability avail long location observation successful efficiency expected optimal algorithms areas computation charging providing describes furthermore type
0000-0003-0856-0814,,Querying Uncertain Data with Aggregate Constraints,samples constraint valid data possible approaches figure pmf probabilities section tuples uncertain queries mcmc world value sales based island result distribution problems cost global carlo independence method applications performs examples
0000-0001-9843-5560,,ATLAS: A Probabilistic Algorithm for High Dimensional Similarity Search,similarities algorithms clusters based image search retrieving contain useful atlas vector dimensionality documents random thresholds generation experimental probabilistic near function finds approximated text word filters research candidate plagiarism exact collections
0000-0002-4115-3025,,Early Accurate Results for Advanced Analytics on MapReduce,sample data hadoop earl estimator resulting errors approximation techniques functional requirement resamples bootstraps computes distribution works performs size accuracy input processed provides values node users mapreduce model stages method mappers
0000-0002-4547-5312,,Schema Clustering and Retrieval for Multi-domain Pay-As-You-Go Data Integration Systems,data domains integrates techniques web structure approaches clustered information queries section source schemas mediation work provides classification different systems experimental map keywords use takes search quality example number inter
0000-0002-1255-3441,,Secure Query Processing with Data Interoperability in a Cloud Database Environment,encrypts data databases compute operator section share security scheme sdb queries model sensitive provides works services storage significant sharemind efficient homomorphic existing practice different cloud sql par types fits
0000-0002-5816-3959,,Dish Comment Summarization Based on Bilateral Topic Analysis,modelling aspect reviewer dishes comments snippet topics generating based restaurants scores summarized opinionated texts algorithmic process differences analysis words selecting feature result information news method sections usually techniques multinomial problem
0000-0002-9410-9394,,On Scaling Up Sensitive Data Auditing,queries audited data database instances single record sensitive world secure customers relations logged example selective operator definition problem given accesses algorithm breached annotated section tion technique evaluation filtering figure follow
0000-0002-7122-7603,http://dx.doi.org/10.1145/2588555.2593678.,Materialization Optimizations for Feature Selection Workloads,optimizers features selects databases analyst columbus data materializing settings models sample analytics figure related include workloads managing problem processing improved results heuristic income loss strategies datasets uses statistics tion computational
0000-0003-4316-4032,,A Comparison of Adaptive Radix Trees and Hash Tables,hashes node keys data judy memory tree art cache indexes design performed like differences prefix pointer structure compressed radix efficiency new bits cuckoo sizes table comparisons population arrays corresponding uses
0000-0003-0673-1632,,Efficient Diversity-Aware Search,result informative news search users diversification problems data grapevine semantics important documents efficiency existing algorithms performed quality queries article retrieved techniques redundancy emerging diversity das generated entities scenarios needs aggregates
0000-0003-4172-6169,,Local Search of Communities in Large Graphs Wanyun CuiÂ¡Ã¯ Yanghua XiaoÂ¡Ã¯,community networks searches degree graph given vertex section measures problems includes minimal common global example solutions friends result minimum web subgraph local remove constraint information tail user sufficient charac
0000-0001-6938-0820,,Annotating the Behavior of Scientific Modules Using Data Examples: A Practical Approach,module scientific data example section generating proteins value annotated workflow pro testing service given tioning program existing tasks figure multiple outputs software record means intuitive ontology bioinformatics propose issues ing
0000-0003-1344-4260,,PerfAugur: Robust Diagnostics for Performance,anomaly performs data predicate algorithm attribute based services scored approaches outlier identified uses values distribution robustness require setting multiple perfaugur differs measure compute times failure changing log function diversity mined
0000-0002-9750-850X,,Towards Dependable Data Repairing with Fixing Rules,data rule section fixed dependency country capital repaired algorithm china beijing traveled examples values error work given user figure cost tokyo problems relation database aka patterns clean discusses functional solutions
0000-0003-3776-287X,,Efficient Motif Discovery in Spatial Trajectories Using Discrete Fr?chet Distance,trajectory computed analysis motifs dfd pairs subtrajectory similar distance ing dataset spatial time lower measures non application samples efficient cessfully chal fig work research leash systems solution apply discover figure
0000-0003-0665-8623,,Hyrise Re-engineered: An Extensible Database System for Research in Relational In-Memory Data Management,data databases hyrise new researching developer dbms component benchmark code section management memories base differences use types versions perform experience storage layout processes concept executed formatting generic time test iter
0000-0001-8002-1503,,The Next Generation Operational Data Historian for IoT  Based on Informix,data timely querying writing database high manage sensor related section sample storage iot devices technologies increasingly real operational collecting systems information performance volumes long core application informix cally writ fault
0000-0002-0465-1551,,Density-based Place Clustering in Geo-Social Networks,cluster spatially user socially places dcpgs geosns region data dense density based works checkins information measures network efficiently lines geo distances modeled experimentally sections including eps application https form
0000-0003-2755-0523,,Approximation Schemes for Many-Objective Query Optimization,optimizer costs objectives queries algorithms plan moqo generated ing represent process near user scenarios guarantees rta according example formally approximation relate ira set specifying experimentally weight multiplicative metric minimize space
0000-0002-7116-3152,,Detecting and Resolving Unsound Workflow Views for Correct Provenance Analysis,workflows view task provenance problems algorithm section unsound soundness local analysis efficiency data transitive networks composite designs sequences optimal protein incorrect work phylogenomic complexity generate irrelevant myex example tree application
0000-0003-2002-3026,,Generating Exact- and Ranked Partially-Matched Answers to Questions in Advertisements,added cqads question values keywords query searched similar processed condition identified bases matches retrieval selected specifying domain answer attributes boolean user type trie rank tions relational semantically model nodes tables
0000-0002-1160-7276,,BB-Tree: A practical and efficient main-memory index structure for multidimensional workloads,data caches multidimensional query memory dimension bucket matching searching ranging node different mdis main index structures efficiency events overflows performed access selective space certain tion pointers improves parallelization operations
0000-0002-1084-4990,,Structured Annotations of Web Queries,query structure data web annotator result information tables users search world model keyword tion lcd unsupervised challenges mechanism database source produces likely closing retrieved latent map fast white end free
0000-0002-6323-9081,,Efficient evaluation of threshold queries of derived fields in a numerical simulation database,data computes dataset databases query largely scientifically analysis evaluations environment clusters cached approach thresholding intense times simulated tion storage applications location field vortices manage performed store methods taking cient physics
0000-0001-7309-6865,,Probabilistic Databases with MarkoViews,querying tuples aid probabilistic database view table weight correlated data mlns markoview mvdbs called inferences relation large tup likely years independence examples letting evaluating requires base pid algorithm new seconds
0000-0002-7639-3176,,Efficient Subgraph Matching on Billion Node Graphs,graph data indexed queried joining result subgraphs trinity memory approach nodes matched perform bases label exploring stwigs uses edge efficiently supporting space ing algorithms includ buffer size large section linear
0000-0003-3045-3513,,Localizing Anomalous Changes in Time-evolving Graphs,graph networks data time anomalous cad nodes change detecting include method based identifies studied anomalies localize problems structural information edge analysis temporal distance interaction ments anecdotal comes precipitation relationships email
0000-0002-5715-5092,,Window-Chained Longest Common Subsequence:  Common Event Matching in Sequences,windows match algorithm sequenc examples lines wlcs lcs timing wclcs events weights counts sorts point edge letter cell graphs longest based follow efficiency common constraints sensors logged work order
0000-0002-1270-8220,,Index Design for Enforcing Partial Referential Integrity Efficiently,keys data integrity tables indices database tour semantics updated partial funding main index value proposal referential provides related column booking null site tuple standard paper systems answer simple enforce foreign
0000-0002-8578-1533,,Continuous Analytics Over Discontinuous Streams,processed data streaming queries systems ordering continuous times arriving approach parallelism availability scales environments management high sites key finally techniques based instances independently generation dynamic partitioning large problems commercial heavily
0000-0001-6654-4367,,Towards a Parameter-Free and Parallel Itemset Mining Algorithm in Linearithmic Time,itemsets set transactions algorithmic data mined pattern frequency frequent problems similarity hashes approximately times approaches example local item compressibility representation support scalability length phase optimal efficiency iterations scaling datasets sorting
0000-0002-1792-7879,,Taming the Storage Dragon: The Adventures of HoTMaN,data storage server databases hotman disk luns available manage operators myspace key hot challenge stored including enterprises high term virtualization financial deploy error recovery attached file performed processes contained maintain
0000-0001-9267-7825,,Efficient Parallel Skyline Processing using Hyperplane Projections,skylines parallelized algorithm better point data object existing partitioning computing multiple efficiently processing requiring merge approach collection based sets database useful section optimization strategies small compu
0000-0001-5149-2656,,Incremental Graph Pattern Matching,increment graphs match algorithm update patterns networking data time sections generation simulate relational structure techniques landmarks problems complexity bounded paths result ctos edges experimentally changed unit friendfeed views bio unnecessary
0000-0002-8543-8647,,Seamlessly Integrating Disk and Tape in a Multi-tiered Distributed File System,tapes files data gpfs glufs storage disks ltfs tiering accesses migrated provided manager hsm node perform metadata cartridge mmm policies users pool inodes figures drive operation multiple recalls exported software
0000-0002-0133-4964,,More Efficient Datalog Queries: Subsumptive Tabling Beats Magic Sets,rule databases section complexities datalog subsumption tabling language evaluations transformations analysis method subquery query describes precise set answering tion demand derive programming given efficiently strategy vary presents systems outperforms better
0000-0001-9749-6951,,Learning Expressive Linkage Rules using Genetic Programming,operations linkage rule data distance properties bases transforms similarity value difference linked definition aggregations algorithms random learns linear threshold genetic crossover generated entity measure figure population specific function method comparisons
0000-0002-3385-7989,,Pushing the Boundaries of Crowd-enabled Databases  with Query-driven Schema Expansion,users rated data movies querying crowd space liked humans perceptu perform database schemas requires provides quality example sources modeling approaches news task hit social people directly similarity challenges expansions complete
0000-0001-9148-8280,,A Batch of PNUTS: Experiences Connecting Cloud Batch and Serving Systems,pnuts data batches systems hadoop writing application loads provides level failures serve architectural records tables uses runs updated tasks bulk oriented layer performed new users algorithm consistency hybrid latency abstraction
0000-0001-6731-6171,,Robust and Efficient Algorithms for Rank Join Evaluation,operator result join ranked studies inputs efficiency scoring adaptively performs com frpa optimized address questions computing recent assumptions previous example cost ing overall query evalu new difference hibitively algorithms significant
0000-0003-2471-414X,,Diversified Caching for Replicated Web Search Engines,querying cached problems server solution replicating termed qtrain posting method different partitions time list disk search documents exists based sets groups contents inverted ttotal works clustering high sections process
0000-0001-6440-9436,,Groupwise Analytics via Adaptive MapReduce,data grouped mapreduce query record sampling distribution resulting garam algorithm mappers numbers processed coordinating weights locality reduced small gsva shuffle generates settings useful important task value buffers sizes hadoop allowing
0000-0002-9913-6180,,Skyline Operator on Anti-correlated Distributions,algorithm skylines point eliminates data distribution sorting dimensionality cardinal complexity section modeling values based anti independent case methods approaches scoring result axis effectively line following spaces study functions uses
0000-0002-9045-203X,,Pregel: A System for Large-Scale Graph Processing,graphs computation distributed algorithm programming process implementations models parallel message performance fit section work library pregel large synchronization general related vertex example typical bil excessive rank machine address
0000-0002-2525-7596,,Dynamic Physiological Partitioning on a Shared-Nothing Database Cluster,nodes queries data energy operation clustered performed storage workload process dynamically record network dbms utilized research cpu runs server throughput power locally distribut table transaction similar benchmark database lock
0000-0002-4129-4127,,Hierarchically Organized Skew-Tolerant Histograms for Geographic Data Objects,histogram queries data methods estimating skewness distributed section performance hotspot objects bucket processing databases accuracy organization dimensional clusters application consider selectivity effectively utilizing spaces geographic term transform significantly region problem
0000-0003-0438-3507,,Llama: Leveraging Columnar Storage for Scalable Join Processing in the MapReduce Framework,data joined mapreduce process multiple framework llama based environ performing tuple database scale hadoop distributed analytical queries phase systems datasets pro auto tation source valuable main manner columns jobs
0000-0003-1784-5088,,Apples and Oranges: A Comparison of RDF Benchmarks and Real RDF Datasets,data rdf dataset benchmarking generic structuredness testing sizes real provide systems contributing main metrics sets desired search largely manage queries exist ing measured research intu professors novel primitive independently problem
0000-0003-0986-8669,,Stream Warehousing with DataDepot,data time datadepot table streams warehouse timestamps include warehousing transactions managed feed databases correlation real materialized usage new ingest partition query records generated router features problems consist design shkapenyuk service
0000-0001-7983-9826,,LazyFTL: A Page-level Flash Translation Layer Optimized for NAND Flash Memory,lazyftl flash erased performed ftl accessed latency memories layer operation blocks designs low leveling read section evaluation technologies magnetic data scheme mapping efficiently storage write times systems makes electrons introduction
0000-0002-1185-5165,,Personalized Route Recommendation using Big Trajectory Data,trajectories driver routing graph prefer recommends edges based timely fig driving difference indexing values constructed personalization start travels algorithm road iti models section vertex weight providing filtered computation queries importance
0000-0001-5517-7768,,Time series anomaly discovery with grammar-based compression,algorithmically compressibility anomalies lengths time series subsequences discords technique generic detect efficient random grammar approaches different data problems induction form empirically discovery discretized structural distance kolmogorov processes ano present related
0000-0001-6094-6373,,A Framework for Testing Query Transformation Rules,queries tests rule based optimal generating joining executing correctness plans required microsoft example certain functional problem key factor uses algorithm coverage transformation perform leverages sql related result pushes api approach
0000-0001-6251-3483,,ZStream: A Cost-based Query Processor for Adaptively Detecting Composite Events,nfa event queries pattern planning state evaluate detection orders algorithm section zstream perform negated sequential cep systems search operators approaches based figure propose conjunction runtime closure include process related
0000-0001-5990-6585,,E-Cube: Multi-Dimensional Event Sequence Analysis Using Hierarchical Pattern Query Sharing,patterns query section data olap events operator systems streaming resources based time process optimized evaluate hierarchies sequence efficiently complex cep strategy mass analysis online concepts level tion chase applicability
0000-0003-3093-4309,,Progressive Diversification for Column-based Data Exploration Platforms,data distances prunes query resulting diversity diversification point vprune compute dimensionality setting based pgreedy provided hprune value followed sections user processes definition pdiverse dimension minimum partially progresses iteration typically costs
0000-0002-8060-0772,,Self-managed collections: Off-heap memory management for scalable query-dominated collections,queries application collection memories manager object data smcs performing garbage databases languages typically working evaluation like complex type gui val mis dram self process virtual functions extent parallel recent previous
0000-0003-0802-4069,"http://madlib.net,",The MADlib Analytics Library,data databases madlib sql analytic iterations likely method sources function software parallelize leveling providing algorithmic libraries aggregates statistical useful engineers implementation includes supported tables open coding researchers communities type largely
